Fold;Accuracy;Entropy;F1-score (macro);Precision (macro);Recall (macro);F1-score (weighted);Precision (weighted);Recall (weighted)
1;0.13;5.14;0.11;0.13;0.12;0.15;0.22;0.13
2;0.14;5.14;0.12;0.14;0.16;0.15;0.23;0.14
3;0.14;5.14;0.12;0.14;0.14;0.16;0.24;0.14
4;0.14;5.14;0.12;0.14;0.14;0.16;0.24;0.14
5;0.15;5.14;0.12;0.15;0.14;0.17;0.26;0.15
