Fold;Accuracy;Entropy;F1-score (macro);Precision (macro);Recall (macro);F1-score (weighted);Precision (weighted);Recall (weighted)
1;0.67;3.83;0.58;0.6;0.56;0.67;0.67;0.67
2;0.68;3.73;0.54;0.6;0.52;0.67;0.68;0.68
3;0.68;3.8;0.59;0.62;0.57;0.67;0.68;0.68
4;0.7;3.77;0.6;0.63;0.58;0.69;0.69;0.7
5;0.67;3.7;0.57;0.63;0.54;0.66;0.67;0.67
