Fold;Accuracy;Entropy;F1-score (macro);Precision (macro);Recall (macro);F1-score (weighted);Precision (weighted);Recall (weighted)
1;0.78;3.39;0.67;0.73;0.65;0.77;0.79;0.78
2;0.76;3.56;0.64;0.66;0.63;0.76;0.77;0.76
3;0.77;3.46;0.67;0.72;0.64;0.76;0.76;0.77
4;0.77;3.54;0.66;0.67;0.66;0.77;0.77;0.77
5;0.71;3.69;0.61;0.62;0.63;0.7;0.72;0.71
