Fold;Accuracy;Entropy;F1-score (macro);Precision (macro);Recall (macro);F1-score (weighted);Precision (weighted);Recall (weighted)
1;0.64;4.06;0.55;0.54;0.57;0.65;0.67;0.64
2;0.68;3.76;0.56;0.61;0.55;0.67;0.67;0.68
3;0.68;3.86;0.57;0.59;0.57;0.67;0.67;0.68
4;0.66;3.89;0.59;0.61;0.57;0.66;0.67;0.66
5;0.66;3.95;0.58;0.57;0.58;0.66;0.67;0.66
