Fold;Accuracy;Entropy;F1-score (macro);Precision (macro);Recall (macro);F1-score (weighted);Precision (weighted);Recall (weighted)
1;0.68;3.83;0.55;0.59;0.55;0.68;0.7;0.68
2;0.69;3.64;0.51;0.58;0.49;0.67;0.67;0.69
3;0.64;3.66;0.48;0.6;0.46;0.62;0.67;0.64
4;0.67;3.76;0.52;0.56;0.52;0.66;0.67;0.67
5;0.65;3.64;0.51;0.59;0.49;0.62;0.65;0.65
