Fold;Accuracy;Entropy;F1-score (macro);Precision (macro);Recall (macro);F1-score (weighted);Precision (weighted);Recall (weighted)
1;0.77;3.42;0.66;0.73;0.63;0.76;0.78;0.77
2;0.78;3.45;0.67;0.71;0.65;0.78;0.78;0.78
3;0.78;3.48;0.69;0.7;0.67;0.77;0.78;0.78
4;0.77;3.54;0.67;0.69;0.66;0.77;0.77;0.77
5;0.76;3.6;0.67;0.68;0.68;0.76;0.77;0.76
